Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,tavg,C_value,CV_C_value,Phylo_Dist_Root,Phylo_Branch_Len,Salinity_Tol
Silybum,Asteraceae,Asterales,0.0,0.0,0.0,0.0,0.00210989,0.015625,1.0,1.0,1.0,2.58694816475,0.02,3.3862005286025645,,35.0,1.0,7.835820895522388
Sinapis,Brassicaceae,Brassicales,0.0,0.0,0.083333333,0.0,0.00485306,0.0,1.0,1.0,1.0,2.9222222222222225,0.4929733334,0.526,0.694198425,35.0,1.0,8.045977011494253
Sisymbrella,Brassicaceae,Brassicales,0.0,0.0,0.5,0.0,0.00485306,0.0,0.998958333325,0.90956349205,0.9974160206744186,2.9222222222222225,0.4929733334,0.36,,20.0,1.0,8.045977011494253
Sisymbrium,Brassicaceae,Brassicales,0.0,0.0,0.114583333,0.0,0.00485306,0.0,1.0,0.944444444,1.0,2.9222222222222225,0.4929733334,0.377142857,46.40061327,26.0,1.0,8.045977011494253
Sisyrinchium,Iridaceae,Asparagales,0.0,0.0,0.955882353,0.0,0.0,0.4307692308,1.0,0.5,1.0,2.0,0.826,1.931428571,50.01870713,18.0,1.0,7.6923076923076925
Sitanion,Poaceae,Poales,200.0,1.0,1.0,0.0,0.074314214,1.0,0.9609953703833334,0.7215099227419354,0.034680304047619,1.7807017544210528,0.4968928571428571,4.6528267402125,,17.0,1.0,22.36842105263158
Sium,Apiaceae,Apiales,0.0,0.0,1.0,0.0,0.003968254,0.0,1.0,0.5,1.0,2.5,0.925,2.5124782609130434,,30.0,1.0,11.764705882352942
Smilacina,Asparagaceae,Asparagales,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.496428571375,1.0,2.9,0.956,9.27415334995238,,17.0,1.0,3.0303030303030303
Smilax,Smilacaceae,Liliales,0.0,0.0,1.0,0.4,0.0,0.0,0.9841325564285818,0.7694294731480881,0.525,2.3942552466726874,0.6304592000547441,4.16,42.15204378,14.0,1.0,0.0
Smyrnium,Apiaceae,Apiales,0.0,0.0,0.0,0.0,0.003968254,0.0,1.0,1.0,1.0,3.3888888888333333,0.925,2.82,,29.0,1.0,11.764705882352942
Solanum,Solanaceae,Solanales,0.055096419,0.033057851,0.681818182,0.3,0.089837398,0.021276596,1.0,0.875,1.0,1.833333333,0.47875,1.522166667,65.71144406,27.0,1.0,100.0
Soldanella,Primulaceae,Ericales,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,3.090293040333333,0.741,3.88,83.83224725,21.0,1.0,25.0
Solenanthus,Boraginaceae,Boraginales,0.0,0.0,0.5,0.0,0.001824818,0.0,1.0,0.8851851851666667,0.9736842105263158,4.0,0.7039500000000001,1.4171923077000002,,23.0,1.0,4.878048780487805
Solenogyne,Asteraceae,Asterales,0.0,0.0,1.0,0.0,0.00210989,0.015625,0.9667911996712328,0.761325295527027,0.9507266543025208,2.58694816475,0.6654010416875,3.3862005286025645,,34.0,1.0,7.835820895522388
Solidago,Asteraceae,Asterales,0.124223602,0.042857143,1.0,0.0,0.00210989,0.015625,1.0,0.5,1.0,2.58694816475,0.935,1.29,25.48578562,42.0,1.0,100.0
Soliva,Asteraceae,Asterales,0.0,0.0,0.0,0.0,0.00210989,0.015625,0.9667911996712328,0.761325295527027,0.9507266543025208,2.58694816475,0.6654010416875,3.3862005286025645,,32.0,1.0,7.835820895522388
Sonchus,Asteraceae,Asterales,0.738916256,0.103448276,0.403497409,0.0,0.00210989,0.0,1.0,0.75,1.0,2.58694816475,0.6654010416875,1.444166667,16.25113995,33.0,1.0,100.0
Sophora,Fabaceae,Fabales,0.0,0.0,1.0,0.6,0.096494845,0.7719298245789473,1.0,0.9291558728928572,1.0,3.0,0.5700679541176471,2.04,,19.0,1.0,100.0
Sorbaria,Rosaceae,Rosales,0.0,0.0,1.0,1.0,0.001060071,0.0,1.0,1.0,1.0,2.1739697801,0.8256875,0.7405270453157895,,21.0,1.0,2.7777777777777777
Sorbus,Rosaceae,Rosales,0.721954832,0.263513514,1.0,1.0,0.001060071,0.0,0.608695652,0.961538462,1.0,2.270833333,0.8256875,0.912,30.78670196,22.0,1.0,2.7777777777777777
Sorghum,Poaceae,Poales,0.0,0.0,0.533333333,0.0,0.074314214,1.0,1.0,0.5,0.5,1.7807017544210528,0.369666667,2.196086957,45.42435781,24.0,1.0,22.36842105263158
Sparaxis,Iridaceae,Asparagales,0.0,0.0,1.0,0.0,0.0,0.25,1.0,0.53365384625,1.0,2.0,0.826,3.12506072625,,22.0,1.0,7.6923076923076925
Sparganium,Typhaceae,Poales,2.53968254,0.444444444,1.0,0.0,0.0,0.0,1.0,0.5,0.0,2.3942552466726874,0.6304592000547441,0.565,0.0,13.0,1.0,50.0
Spartina,Poaceae,Poales,1.086956522,0.125,1.0,0.0,0.074314214,1.0,1.0,0.125,0.0,1.7807017544210528,0.782,5.45,,26.0,1.0,22.36842105263158
Spergula,Caryophyllaceae,Caryophyllales,0.0,0.0,0.125,0.0,0.001818182,0.0,1.0,1.0,1.0,3.240740740777778,0.5151666666666667,1.05,,22.0,1.0,13.793103448275861
Spergularia,Caryophyllaceae,Caryophyllales,0.088652482,0.020833333,0.364661654,0.0,0.001818182,0.0,1.0,1.0,1.0,3.240740740777778,0.0675,1.21415601275,,20.0,1.0,100.0
Spermacoce,Rubiaceae,Gentianales,0.0,0.0,0.25,0.0,0.0006,0.0,1.0,0.7422839506666667,1.0,2.0387159138333333,0.7185,1.3786363636666668,,25.0,1.0,0.0
Spermolepis,Apiaceae,Apiales,0.0,0.0,0.0,0.0,0.003968254,0.0,1.0,0.8953401360571428,0.9996012759210526,3.3888888888333333,0.925,2.5124782609130434,,22.0,1.0,11.764705882352942
